ngành,cá_nhân_khớp_ròng,tổ_chức_trong_nước_khớp_ròng,tự_doanh_khớp_ròng,nước_ngoài_khớp_ròng,cá_nhân_thỏa_thuận_ròng,tổ_chức_trong_nước_thỏa_thuận_ròng,tự_doanh_thỏa_thuận_ròng,nước_ngoài_thỏa_thuận_ròng,cá_nhân_tổng_gt_ròng,tổ_chức_trong_nước_tổng_gt_ròng,tự_doanh_tổng_gt_ròng,nước_ngoài_tổng_gt_ròng,ngày
Bất động sản L2,410825028000.0,-360785130000.0,0.0,-50039898000.0,-148246000000.0,148246000000.0,0.0,0.0,262579028000.0,-212539130000.0,0.0,-50039898000.0,2022-05-12
Ngân hàng L2,395501180000.0,-430563445000.0,0.0,35062265000.0,34794640000.0,-34297490900.0,0.0,-497149100.0,430295820000.0,-464860935900.0,0.0,34565115900.0,2022-05-12
Tài nguyên Cơ bản L2,150128505000.0,-104323111000.0,0.0,-45805394000.0,0.0,0.0,0.0,0.0,150128505000.0,-104323111000.0,0.0,-45805394000.0,2022-05-12
Xây dựng và Vật liệu L2,25876271000.0,6935085000.0,0.0,-32811356000.0,16888800000.0,-16888800000.0,0.0,0.0,42765071000.0,-9953715000.0,0.0,-32811356000.0,2022-05-12
Dầu khí L2,20494565000.0,-830405000.0,0.0,-19664160000.0,0.0,0.0,0.0,0.0,20494565000.0,-830405000.0,0.0,-19664160000.0,2022-05-12
Du lịch và Giải trí L2,19551083000.0,-25876858000.0,0.0,6325775000.0,3384500000.0,-3384500000.0,0.0,0.0,22935583000.0,-29261358000.0,0.0,6325775000.0,2022-05-12
Thực phẩm và đồ uống L2,19447303000.0,-42547840000.0,0.0,23100537000.0,-5067000000.0,5067000000.0,0.0,0.0,14380303000.0,-37480840000.0,0.0,23100537000.0,2022-05-12
Dịch vụ tài chính L2,6896495000.0,16264969000.0,0.0,-23161464000.0,0.0,0.0,0.0,0.0,6896495000.0,16264969000.0,0.0,-23161464000.0,2022-05-12
Ô tô và phụ tùng L2,5227859000.0,641288000.0,0.0,-5869147000.0,0.0,0.0,0.0,0.0,5227859000.0,641288000.0,0.0,-5869147000.0,2022-05-12
Y tế L2,1518317000.0,-3091407000.0,0.0,1573090000.0,0.0,0.0,0.0,0.0,1518317000.0,-3091407000.0,0.0,1573090000.0,2022-05-12
Truyền thông L2,499695000.0,1890000.0,0.0,-501585000.0,0.0,0.0,0.0,0.0,499695000.0,1890000.0,0.0,-501585000.0,2022-05-12
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-12
Hàng & Dịch vụ Công nghiệp L2,-1267630000.0,39191077000.0,0.0,-37923447000.0,0.0,0.0,0.0,0.0,-1267630000.0,39191077000.0,0.0,-37923447000.0,2022-05-12
"Điện, nước & xăng dầu khí đốt L2",-1618967000.0,-6576638000.0,0.0,8195605000.0,2800000000.0,-2800000000.0,0.0,0.0,1181033000.0,-9376638000.0,0.0,8195605000.0,2022-05-12
Công nghệ Thông tin L2,-3782260000.0,4226265000.0,0.0,-444005000.0,0.0,0.0,0.0,0.0,-3782260000.0,4226265000.0,0.0,-444005000.0,2022-05-12
Hàng cá nhân & Gia dụng L2,-21939035000.0,28232576000.0,0.0,-6293541000.0,0.0,0.0,0.0,0.0,-21939035000.0,28232576000.0,0.0,-6293541000.0,2022-05-12
Bảo hiểm L2,-27029385000.0,13880310000.0,0.0,13149075000.0,0.0,0.0,0.0,0.0,-27029385000.0,13880310000.0,0.0,13149075000.0,2022-05-12
Hóa chất L2,-78386511000.0,47437198000.0,0.0,30949313000.0,-1562000000.0,1562000000.0,0.0,0.0,-79948511000.0,48999198000.0,0.0,30949313000.0,2022-05-12
Bán lẻ L2,-86547174000.0,88198904000.0,0.0,-1651730000.0,5092000000.0,-5092000000.0,0.0,0.0,-81455174000.0,83106904000.0,0.0,-1651730000.0,2022-05-12
Tài nguyên Cơ bản L2,145724752000.0,95948665000.0,0.0,-241673417000.0,-735000000.0,735000000.0,0.0,0.0,144989752000.0,96683665000.0,0.0,-241673417000.0,2022-05-13
Dầu khí L2,18640615000.0,6687510000.0,0.0,-25328125000.0,0.0,0.0,0.0,0.0,18640615000.0,6687510000.0,0.0,-25328125000.0,2022-05-13
Bất động sản L2,425804000.0,100696265000.0,0.0,-101122069000.0,0.0,0.0,0.0,0.0,425804000.0,100696265000.0,0.0,-101122069000.0,2022-05-13
Truyền thông L2,181425000.0,-1805000.0,0.0,-179620000.0,0.0,0.0,0.0,0.0,181425000.0,-1805000.0,0.0,-179620000.0,2022-05-13
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-13
Ô tô và phụ tùng L2,-667130000.0,-1168092000.0,0.0,1835222000.0,0.0,0.0,0.0,0.0,-667130000.0,-1168092000.0,0.0,1835222000.0,2022-05-13
Y tế L2,-10403771000.0,1644580000.0,0.0,8759191000.0,0.0,0.0,0.0,0.0,-10403771000.0,1644580000.0,0.0,8759191000.0,2022-05-13
"Điện, nước & xăng dầu khí đốt L2",-11520408000.0,34426350000.0,0.0,-22905942000.0,0.0,0.0,0.0,0.0,-11520408000.0,34426350000.0,0.0,-22905942000.0,2022-05-13
Hàng cá nhân & Gia dụng L2,-23362437000.0,24423089000.0,0.0,-1060652000.0,0.0,0.0,0.0,0.0,-23362437000.0,24423089000.0,0.0,-1060652000.0,2022-05-13
Du lịch và Giải trí L2,-32709707000.0,23772077000.0,0.0,8937630000.0,-5271000000.0,5271000000.0,0.0,0.0,-37980707000.0,29043077000.0,0.0,8937630000.0,2022-05-13
Bảo hiểm L2,-39857370000.0,10115335000.0,0.0,29742035000.0,0.0,0.0,0.0,0.0,-39857370000.0,10115335000.0,0.0,29742035000.0,2022-05-13
Hàng & Dịch vụ Công nghiệp L2,-63054176000.0,29613970000.0,0.0,33440206000.0,-474000000.0,474000000.0,0.0,0.0,-63528176000.0,30087970000.0,0.0,33440206000.0,2022-05-13
Dịch vụ tài chính L2,-67633476000.0,-37226195000.0,0.0,104859671000.0,0.0,-581942661000.0,0.0,581942661000.0,-67633476000.0,-619168856000.0,0.0,686802332000.0,2022-05-13
Xây dựng và Vật liệu L2,-73643427000.0,50957686000.0,0.0,22685741000.0,0.0,0.0,0.0,0.0,-73643427000.0,50957686000.0,0.0,22685741000.0,2022-05-13
Hóa chất L2,-124083997000.0,36038317000.0,0.0,88045680000.0,0.0,0.0,0.0,0.0,-124083997000.0,36038317000.0,0.0,88045680000.0,2022-05-13
Công nghệ Thông tin L2,-165971675000.0,166371620000.0,0.0,-399945000.0,0.0,0.0,0.0,0.0,-165971675000.0,166371620000.0,0.0,-399945000.0,2022-05-13
Bán lẻ L2,-189085680000.0,167896295000.0,0.0,21189385000.0,0.0,0.0,0.0,0.0,-189085680000.0,167896295000.0,0.0,21189385000.0,2022-05-13
Thực phẩm và đồ uống L2,-246517589000.0,154115724000.0,0.0,92401865000.0,-1854000000.0,1854000000.0,0.0,0.0,-248371589000.0,155969724000.0,0.0,92401865000.0,2022-05-13
Ngân hàng L2,-418032430000.0,429916310000.0,0.0,-11883880000.0,-24345000000.0,25895947200.0,0.0,-1550947200.0,-442377430000.0,455812257200.0,0.0,-13434827200.0,2022-05-13
Bất động sản L2,44176964000.0,-69396925000.0,0.0,25219961000.0,-22825000000.0,22825000000.0,0.0,0.0,21351964000.0,-46571925000.0,0.0,25219961000.0,2022-05-16
Ngân hàng L2,43986515000.0,-60995325000.0,0.0,17008810000.0,-1240000000.0,1240000000.0,0.0,0.0,42746515000.0,-59755325000.0,0.0,17008810000.0,2022-05-16
Dịch vụ tài chính L2,39795735000.0,-51361745000.0,0.0,11566010000.0,0.0,0.0,0.0,0.0,39795735000.0,-51361745000.0,0.0,11566010000.0,2022-05-16
"Điện, nước & xăng dầu khí đốt L2",33459198000.0,-10577472000.0,0.0,-22881726000.0,0.0,0.0,0.0,0.0,33459198000.0,-10577472000.0,0.0,-22881726000.0,2022-05-16
Du lịch và Giải trí L2,2804555000.0,-7537490000.0,0.0,4732935000.0,0.0,0.0,0.0,0.0,2804555000.0,-7537490000.0,0.0,4732935000.0,2022-05-16
Truyền thông L2,90655000.0,-1705000.0,0.0,-88950000.0,0.0,0.0,0.0,0.0,90655000.0,-1705000.0,0.0,-88950000.0,2022-05-16
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-16
Dầu khí L2,-75190000.0,-10902595000.0,0.0,10977785000.0,0.0,0.0,0.0,0.0,-75190000.0,-10902595000.0,0.0,10977785000.0,2022-05-16
Hàng cá nhân & Gia dụng L2,-3882458000.0,5154902000.0,0.0,-1272444000.0,0.0,0.0,0.0,0.0,-3882458000.0,5154902000.0,0.0,-1272444000.0,2022-05-16
Công nghệ Thông tin L2,-3994740000.0,3194715000.0,0.0,800025000.0,0.0,0.0,0.0,0.0,-3994740000.0,3194715000.0,0.0,800025000.0,2022-05-16
Ô tô và phụ tùng L2,-4039919000.0,-257842000.0,0.0,4297761000.0,0.0,0.0,0.0,0.0,-4039919000.0,-257842000.0,0.0,4297761000.0,2022-05-16
Y tế L2,-4652272000.0,524492000.0,0.0,4127780000.0,0.0,0.0,0.0,0.0,-4652272000.0,524492000.0,0.0,4127780000.0,2022-05-16
Xây dựng và Vật liệu L2,-8028289000.0,2176840000.0,0.0,5851449000.0,0.0,0.0,0.0,0.0,-8028289000.0,2176840000.0,0.0,5851449000.0,2022-05-16
Bảo hiểm L2,-9290655000.0,4097020000.0,0.0,5193635000.0,0.0,0.0,0.0,0.0,-9290655000.0,4097020000.0,0.0,5193635000.0,2022-05-16
Bán lẻ L2,-40327039000.0,33163009000.0,0.0,7164030000.0,0.0,0.0,0.0,0.0,-40327039000.0,33163009000.0,0.0,7164030000.0,2022-05-16
Hàng & Dịch vụ Công nghiệp L2,-42374429000.0,-2254708000.0,0.0,44629137000.0,-39100000000.0,39100000000.0,0.0,0.0,-81474429000.0,36845292000.0,0.0,44629137000.0,2022-05-16
Thực phẩm và đồ uống L2,-45869649000.0,5306398000.0,0.0,40563251000.0,-5025000000.0,5025000000.0,0.0,0.0,-50894649000.0,10331398000.0,0.0,40563251000.0,2022-05-16
Hóa chất L2,-71367070000.0,29360871000.0,0.0,42006199000.0,0.0,0.0,0.0,0.0,-71367070000.0,29360871000.0,0.0,42006199000.0,2022-05-16
Tài nguyên Cơ bản L2,-112654613000.0,55126294000.0,0.0,57528319000.0,0.0,0.0,0.0,0.0,-112654613000.0,55126294000.0,0.0,57528319000.0,2022-05-16
Bất động sản L2,147686148000.0,-100456634000.0,-53778830000.0,6549316000.0,7600000000.0,-7600000000.0,0.0,0.0,155286148000.0,-108056634000.0,-53778830000.0,6549316000.0,2022-05-17
Dịch vụ tài chính L2,112183106000.0,-48660174000.0,30478760000.0,-94001692000.0,0.0,0.0,0.0,0.0,112183106000.0,-48660174000.0,30478760000.0,-94001692000.0,2022-05-17
Ngân hàng L2,93836890000.0,-49732540000.0,98612030000.0,-142716380000.0,17007570000.0,-17007570000.0,0.0,0.0,110844460000.0,-66740110000.0,98612030000.0,-142716380000.0,2022-05-17
Tài nguyên Cơ bản L2,85316254000.0,-19373170000.0,67757625000.0,-133700709000.0,0.0,0.0,0.0,0.0,85316254000.0,-19373170000.0,67757625000.0,-133700709000.0,2022-05-17
Dầu khí L2,10143455000.0,-1127835000.0,155415000.0,-9171035000.0,0.0,0.0,0.0,0.0,10143455000.0,-1127835000.0,155415000.0,-9171035000.0,2022-05-17
Truyền thông L2,9207015000.0,-9840205000.0,0.0,633190000.0,0.0,0.0,0.0,0.0,9207015000.0,-9840205000.0,0.0,633190000.0,2022-05-17
Hàng & Dịch vụ Công nghiệp L2,1500736000.0,-67606605000.0,7179375000.0,58926494000.0,10000000000.0,-10000000000.0,0.0,0.0,11500736000.0,-77606605000.0,7179375000.0,58926494000.0,2022-05-17
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-17
Y tế L2,-4039724000.0,102859000.0,-209800000.0,4146665000.0,0.0,0.0,0.0,0.0,-4039724000.0,102859000.0,-209800000.0,4146665000.0,2022-05-17
"Điện, nước & xăng dầu khí đốt L2",-7657875000.0,-8926015000.0,2573350000.0,14010540000.0,-2200000000.0,2200000000.0,0.0,0.0,-9857875000.0,-6726015000.0,2573350000.0,14010540000.0,2022-05-17
Du lịch và Giải trí L2,-8163699000.0,-2406421000.0,-2575340000.0,13145460000.0,1644750000.0,-1644750000.0,0.0,0.0,-6518949000.0,-4051171000.0,-2575340000.0,13145460000.0,2022-05-17
Ô tô và phụ tùng L2,-12165550000.0,5260266000.0,650875000.0,6254409000.0,0.0,0.0,0.0,0.0,-12165550000.0,5260266000.0,650875000.0,6254409000.0,2022-05-17
Hóa chất L2,-12844050000.0,9502372000.0,-4000405000.0,7342083000.0,0.0,0.0,0.0,0.0,-12844050000.0,9502372000.0,-4000405000.0,7342083000.0,2022-05-17
Hàng cá nhân & Gia dụng L2,-16834040000.0,12347128000.0,4967940000.0,-481028000.0,0.0,0.0,0.0,0.0,-16834040000.0,12347128000.0,4967940000.0,-481028000.0,2022-05-17
Bảo hiểm L2,-19071035000.0,512665000.0,1553530000.0,17004840000.0,0.0,0.0,0.0,0.0,-19071035000.0,512665000.0,1553530000.0,17004840000.0,2022-05-17
Xây dựng và Vật liệu L2,-27440728000.0,-5720517000.0,320597000.0,32840648000.0,-1926000000.0,1926000000.0,0.0,0.0,-29366728000.0,-3794517000.0,320597000.0,32840648000.0,2022-05-17
Công nghệ Thông tin L2,-39710190000.0,30675435000.0,9838620000.0,-803865000.0,0.0,0.0,0.0,0.0,-39710190000.0,30675435000.0,9838620000.0,-803865000.0,2022-05-17
Bán lẻ L2,-39763231000.0,14658451000.0,-2103390000.0,27208170000.0,-3800000000.0,3800000000.0,0.0,0.0,-43563231000.0,18458451000.0,-2103390000.0,27208170000.0,2022-05-17
Thực phẩm và đồ uống L2,-131761773000.0,-19164570000.0,-7262951000.0,158189294000.0,4109500000.0,-4109500000.0,0.0,0.0,-127652273000.0,-23274070000.0,-7262951000.0,158189294000.0,2022-05-17
Bất động sản L2,253189147000.0,-77308145000.0,-172673780000.0,-3207222000.0,5700000000.0,-5700000000.0,541541000.0,-541541000.0,258889147000.0,-83008145000.0,-172132239000.0,-3748763000.0,2022-05-18
Ngân hàng L2,245759895000.0,-75072940000.0,-209751405000.0,39064450000.0,0.0,15750000000.0,-15750000000.0,0.0,245759895000.0,-59322940000.0,-225501405000.0,39064450000.0,2022-05-18
Dịch vụ tài chính L2,136123028000.0,-64138619000.0,-23554315000.0,-48430094000.0,0.0,0.0,0.0,0.0,136123028000.0,-64138619000.0,-23554315000.0,-48430094000.0,2022-05-18
Tài nguyên Cơ bản L2,117506089000.0,-52632703000.0,-45630220000.0,-19243166000.0,0.0,0.0,0.0,0.0,117506089000.0,-52632703000.0,-45630220000.0,-19243166000.0,2022-05-18
Du lịch và Giải trí L2,32056531000.0,-6417791000.0,-20863970000.0,-4774770000.0,5218500000.0,-5218500000.0,0.0,0.0,37275031000.0,-11636291000.0,-20863970000.0,-4774770000.0,2022-05-18
Công nghệ Thông tin L2,20629635000.0,1593425000.0,-22823835000.0,600775000.0,0.0,0.0,0.0,0.0,20629635000.0,1593425000.0,-22823835000.0,600775000.0,2022-05-18
Bán lẻ L2,10681787000.0,6001388000.0,-23662060000.0,6978885000.0,0.0,0.0,0.0,0.0,10681787000.0,6001388000.0,-23662060000.0,6978885000.0,2022-05-18
Xây dựng và Vật liệu L2,7885560000.0,-6121640000.0,344260000.0,-2108180000.0,0.0,0.0,0.0,0.0,7885560000.0,-6121640000.0,344260000.0,-2108180000.0,2022-05-18
Ô tô và phụ tùng L2,5444893000.0,252329000.0,7670000.0,-5704892000.0,0.0,0.0,0.0,0.0,5444893000.0,252329000.0,7670000.0,-5704892000.0,2022-05-18
Dầu khí L2,5200965000.0,1081165000.0,-1970280000.0,-4311850000.0,0.0,0.0,0.0,0.0,5200965000.0,1081165000.0,-1970280000.0,-4311850000.0,2022-05-18
Truyền thông L2,1066670000.0,-1308635000.0,0.0,241965000.0,0.0,0.0,0.0,0.0,1066670000.0,-1308635000.0,0.0,241965000.0,2022-05-18
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-18
Hàng cá nhân & Gia dụng L2,-1480275000.0,7108374000.0,-1670720000.0,-3957379000.0,0.0,0.0,0.0,0.0,-1480275000.0,7108374000.0,-1670720000.0,-3957379000.0,2022-05-18
Bảo hiểm L2,-2240265000.0,3843145000.0,466315000.0,-2069195000.0,0.0,0.0,0.0,0.0,-2240265000.0,3843145000.0,466315000.0,-2069195000.0,2022-05-18
Y tế L2,-7300598000.0,619142000.0,-882200000.0,7563656000.0,0.0,0.0,0.0,0.0,-7300598000.0,619142000.0,-882200000.0,7563656000.0,2022-05-18
Thực phẩm và đồ uống L2,-13598109000.0,-19742286000.0,-86712853000.0,120053248000.0,48100000000.0,-1600000000.0,0.0,-46500000000.0,34501891000.0,-21342286000.0,-86712853000.0,73553248000.0,2022-05-18
Hóa chất L2,-31877287000.0,12228137000.0,-1559855000.0,21209005000.0,0.0,0.0,0.0,0.0,-31877287000.0,12228137000.0,-1559855000.0,21209005000.0,2022-05-18
"Điện, nước & xăng dầu khí đốt L2",-36659223000.0,-1941451000.0,-23613425000.0,62214099000.0,0.0,0.0,0.0,0.0,-36659223000.0,-1941451000.0,-23613425000.0,62214099000.0,2022-05-18
Hàng & Dịch vụ Công nghiệp L2,-72703174000.0,-870408000.0,10381000000.0,63192582000.0,0.0,0.0,0.0,0.0,-72703174000.0,-870408000.0,10381000000.0,63192582000.0,2022-05-18
Bất động sản L2,177691352000.0,-57466157000.0,-122424791000.0,2199596000.0,-9814245000.0,-92185755000.0,102000000000.0,0.0,167877107000.0,-149651912000.0,-20424791000.0,2199596000.0,2022-05-19
Tài nguyên Cơ bản L2,170556039000.0,-7839598000.0,-21988865000.0,-140727576000.0,0.0,0.0,0.0,0.0,170556039000.0,-7839598000.0,-21988865000.0,-140727576000.0,2022-05-19
Ngân hàng L2,104110040000.0,29234485000.0,-82711600000.0,-50632925000.0,61206920000.0,-55745420000.0,-5461500000.0,0.0,165316960000.0,-26510935000.0,-88173100000.0,-50632925000.0,2022-05-19
Du lịch và Giải trí L2,61903608000.0,-32926918000.0,-13880830000.0,-15095860000.0,-9456000000.0,9456000000.0,0.0,0.0,52447608000.0,-23470918000.0,-13880830000.0,-15095860000.0,2022-05-19
Dịch vụ tài chính L2,61766596000.0,13396583000.0,-3465206000.0,-71697973000.0,0.0,0.0,0.0,0.0,61766596000.0,13396583000.0,-3465206000.0,-71697973000.0,2022-05-19
Dầu khí L2,24576345000.0,-4199435000.0,-1457465000.0,-18919445000.0,0.0,0.0,0.0,0.0,24576345000.0,-4199435000.0,-1457465000.0,-18919445000.0,2022-05-19
Ô tô và phụ tùng L2,4277109000.0,58444000.0,17771000.0,-4353324000.0,0.0,0.0,0.0,0.0,4277109000.0,58444000.0,17771000.0,-4353324000.0,2022-05-19
Bảo hiểm L2,2788675000.0,2172380000.0,776755000.0,-5737810000.0,0.0,0.0,0.0,0.0,2788675000.0,2172380000.0,776755000.0,-5737810000.0,2022-05-19
"Điện, nước & xăng dầu khí đốt L2",1612004000.0,10423891000.0,-26269715000.0,14233820000.0,0.0,4080000000.0,0.0,-4080000000.0,1612004000.0,14503891000.0,-26269715000.0,10153820000.0,2022-05-19
Truyền thông L2,972205000.0,-943305000.0,0.0,-28900000.0,0.0,0.0,0.0,0.0,972205000.0,-943305000.0,0.0,-28900000.0,2022-05-19
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-19
Y tế L2,-2039396000.0,36579000.0,-10050000.0,2012867000.0,0.0,0.0,0.0,0.0,-2039396000.0,36579000.0,-10050000.0,2012867000.0,2022-05-19
Hàng cá nhân & Gia dụng L2,-7238434000.0,12409971000.0,-4673995000.0,-497542000.0,0.0,0.0,0.0,0.0,-7238434000.0,12409971000.0,-4673995000.0,-497542000.0,2022-05-19
Công nghệ Thông tin L2,-12994435000.0,25817735000.0,-6032635000.0,-6790665000.0,0.0,0.0,0.0,0.0,-12994435000.0,25817735000.0,-6032635000.0,-6790665000.0,2022-05-19
Xây dựng và Vật liệu L2,-13537490000.0,115061000.0,345374000.0,13077055000.0,0.0,0.0,0.0,0.0,-13537490000.0,115061000.0,345374000.0,13077055000.0,2022-05-19
Thực phẩm và đồ uống L2,-17442698000.0,-28077308000.0,-56098465000.0,101618471000.0,0.0,0.0,0.0,0.0,-17442698000.0,-28077308000.0,-56098465000.0,101618471000.0,2022-05-19
Bán lẻ L2,-18500059000.0,41630959000.0,-10674990000.0,-12455910000.0,0.0,0.0,0.0,0.0,-18500059000.0,41630959000.0,-10674990000.0,-12455910000.0,2022-05-19
Hàng & Dịch vụ Công nghiệp L2,-25432746000.0,22645717000.0,5529615000.0,-2742586000.0,0.0,0.0,0.0,0.0,-25432746000.0,22645717000.0,5529615000.0,-2742586000.0,2022-05-19
Hóa chất L2,-87231923000.0,17073455000.0,-5207802000.0,75366270000.0,0.0,0.0,0.0,0.0,-87231923000.0,17073455000.0,-5207802000.0,75366270000.0,2022-05-19
Bất động sản L2,300988644000.0,-116126716000.0,-39541647000.0,-145320281000.0,0.0,4300000000.0,-4300000000.0,0.0,300988644000.0,-111826716000.0,-43841647000.0,-145320281000.0,2022-05-20
Dịch vụ tài chính L2,249930318000.0,-107336915000.0,-322419000.0,-142270984000.0,0.0,0.0,0.0,0.0,249930318000.0,-107336915000.0,-322419000.0,-142270984000.0,2022-05-20
Tài nguyên Cơ bản L2,199128426000.0,-36784664000.0,654695000.0,-162998457000.0,4300000000.0,-4300000000.0,0.0,0.0,203428426000.0,-41084664000.0,654695000.0,-162998457000.0,2022-05-20
Thực phẩm và đồ uống L2,38069940000.0,-34138430000.0,-2113110000.0,-1818400000.0,-4977000000.0,4977000000.0,0.0,0.0,33092940000.0,-29161430000.0,-2113110000.0,-1818400000.0,2022-05-20
"Điện, nước & xăng dầu khí đốt L2",34021451000.0,-9804506000.0,-383625000.0,-23833320000.0,2560000000.0,-2560000000.0,0.0,0.0,36581451000.0,-12364506000.0,-383625000.0,-23833320000.0,2022-05-20
Du lịch và Giải trí L2,21959514000.0,-17179804000.0,-2529590000.0,-2250120000.0,-9529100000.0,9529100000.0,0.0,0.0,12430414000.0,-7650704000.0,-2529590000.0,-2250120000.0,2022-05-20
Xây dựng và Vật liệu L2,16782842000.0,5357667000.0,3107625000.0,-25248134000.0,2350000000.0,-2350000000.0,0.0,0.0,19132842000.0,3007667000.0,3107625000.0,-25248134000.0,2022-05-20
Dầu khí L2,13220385000.0,2307725000.0,463235000.0,-15991345000.0,0.0,0.0,0.0,0.0,13220385000.0,2307725000.0,463235000.0,-15991345000.0,2022-05-20
Bảo hiểm L2,12349190000.0,602440000.0,1339970000.0,-14291600000.0,0.0,0.0,0.0,0.0,12349190000.0,602440000.0,1339970000.0,-14291600000.0,2022-05-20
Hàng & Dịch vụ Công nghiệp L2,10972382000.0,8493811000.0,17973305000.0,-37439498000.0,-37933390000.0,7933390000.0,30000000000.0,0.0,-26961008000.0,16427201000.0,47973305000.0,-37439498000.0,2022-05-20
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-20
Truyền thông L2,-93765000.0,7660000.0,-9320000.0,95425000.0,0.0,0.0,0.0,0.0,-93765000.0,7660000.0,-9320000.0,95425000.0,2022-05-20
Ô tô và phụ tùng L2,-4204245000.0,2509484000.0,-15735000.0,1710496000.0,0.0,0.0,0.0,0.0,-4204245000.0,2509484000.0,-15735000.0,1710496000.0,2022-05-20
Y tế L2,-7948301000.0,150605000.0,-3835000.0,7801531000.0,0.0,0.0,0.0,0.0,-7948301000.0,150605000.0,-3835000.0,7801531000.0,2022-05-20
Bán lẻ L2,-13508524000.0,5531474000.0,13957130000.0,-5980080000.0,4180000000.0,-4180000000.0,0.0,0.0,-9328524000.0,1351474000.0,13957130000.0,-5980080000.0,2022-05-20
Hàng cá nhân & Gia dụng L2,-15890567000.0,924866000.0,14004570000.0,961131000.0,0.0,0.0,0.0,0.0,-15890567000.0,924866000.0,14004570000.0,961131000.0,2022-05-20
Ngân hàng L2,-34723080000.0,-65101730000.0,63168965000.0,36655845000.0,-2102380000.0,2102380000.0,0.0,0.0,-36825460000.0,-62999350000.0,63168965000.0,36655845000.0,2022-05-20
Công nghệ Thông tin L2,-44660175000.0,23628495000.0,20222835000.0,808845000.0,0.0,0.0,0.0,0.0,-44660175000.0,23628495000.0,20222835000.0,808845000.0,2022-05-20
Hóa chất L2,-107536022000.0,1467908000.0,-3134255000.0,109202369000.0,-20032300000.0,0.0,20032300000.0,0.0,-127568322000.0,1467908000.0,16898045000.0,109202369000.0,2022-05-20
Bất động sản L2,254487866000.0,-9980420000.0,-37150740000.0,-207356706000.0,25752625000.0,-23749999800.0,1535600000.0,-3538225200.0,280240491000.0,-33730419800.0,-35615140000.0,-210894931200.0,2022-05-23
Dịch vụ tài chính L2,216389183000.0,-54649311000.0,-20256975000.0,-141482897000.0,2000100000.0,-41659200000.0,562772000.0,39096328000.0,218389283000.0,-96308511000.0,-19694203000.0,-102386569000.0,2022-05-23
Tài nguyên Cơ bản L2,84258670000.0,-11167658000.0,-18164945000.0,-54926067000.0,10465000000.0,-10465000000.0,0.0,0.0,94723670000.0,-21632658000.0,-18164945000.0,-54926067000.0,2022-05-23
Thực phẩm và đồ uống L2,71561999000.0,12478754000.0,-19767100000.0,-64273653000.0,-6080000000.0,-13915000000.0,19995000000.0,0.0,65481999000.0,-1436246000.0,227900000.0,-64273653000.0,2022-05-23
Du lịch và Giải trí L2,44432798000.0,-32961903000.0,-6918965000.0,-4551930000.0,-5412800000.0,5412800000.0,0.0,0.0,39019998000.0,-27549103000.0,-6918965000.0,-4551930000.0,2022-05-23
Xây dựng và Vật liệu L2,36871474000.0,-1581734000.0,-5060000.0,-35284680000.0,0.0,0.0,0.0,0.0,36871474000.0,-1581734000.0,-5060000.0,-35284680000.0,2022-05-23
Dầu khí L2,10202950000.0,5091205000.0,-522215000.0,-14771940000.0,0.0,0.0,0.0,0.0,10202950000.0,5091205000.0,-522215000.0,-14771940000.0,2022-05-23
Hàng & Dịch vụ Công nghiệp L2,8184219000.0,6700605000.0,7443310000.0,-22328134000.0,-35857700000.0,35857700000.0,0.0,0.0,-27673481000.0,42558305000.0,7443310000.0,-22328134000.0,2022-05-23
Ô tô và phụ tùng L2,3004147000.0,-1441009000.0,0.0,-1563138000.0,0.0,0.0,0.0,0.0,3004147000.0,-1441009000.0,0.0,-1563138000.0,2022-05-23
Truyền thông L2,448825000.0,5050000.0,0.0,-453875000.0,0.0,0.0,0.0,0.0,448825000.0,5050000.0,0.0,-453875000.0,2022-05-23
Y tế L2,407814000.0,190795000.0,0.0,-598609000.0,0.0,0.0,0.0,0.0,407814000.0,190795000.0,0.0,-598609000.0,2022-05-23
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-23
Hàng cá nhân & Gia dụng L2,-4930431000.0,2239637000.0,4616390000.0,-1925596000.0,0.0,0.0,0.0,0.0,-4930431000.0,2239637000.0,4616390000.0,-1925596000.0,2022-05-23
Bảo hiểm L2,-5031300000.0,-1177725000.0,2362700000.0,3846325000.0,0.0,0.0,0.0,0.0,-5031300000.0,-1177725000.0,2362700000.0,3846325000.0,2022-05-23
